Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Wide Range Accelerometer X	Wide Range Accelerometer X	Wide Range Accelerometer Z	Wide Range Accelerometer Z	Wide Range Accelerometer Y	Wide Range Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	
m/(s^2)	no units	m/(s^2)	no units	m/(s^2)	no units	m/(s^2)	no units	no units	m/(s^2)	m/(s^2)	no units	no units	ms	no units	local_flux	no units	no units	local_flux	no units	local_flux	deg/s	no units	deg/s	no units	deg/s	no units	
9.616547265597289	1897.0	-0.9165158531518839	2125.0	2.0629039285822848	1273.0	9.731453096259962	-15872.0	1024.0	-0.627835683629675	1.9619865113427344	3200.0	0.0	1290.95458984375	42302.0	-0.40217391304347827	716.0	-163.0	1.2	-570.0	-0.3812375249500998	1.8638498817037163	155.0	2.366590172540089	-132.0	-1.7068514265736914	-165.0	
9.580095700019513	1898.0	-0.9155387630898035	2125.0	2.0505009910560434	1276.0	9.652973635806253	-15744.0	1088.0	-0.6670754138565297	1.9619865113427344	3200.0	0.0	1310.48583984375	42942.0	-0.4152173913043478	710.0	-167.0	1.1919191919191918	-549.0	-0.42315369261477054	2.3117801381573218	158.0	2.6970594117029747	-156.0	-1.7569581055640828	-194.0	
9.6283810342845	1899.0	-0.9772364332086084	2130.0	2.038318674926421	1272.0	9.613733905579398	-15680.0	1216.0	-0.745554874310239	1.9619865113427344	3200.0	0.0	1330.01708984375	43582.0	-0.4152173913043478	710.0	-175.0	1.1757575757575758	-544.0	-0.4331337325349302	1.0488101458501995	134.0	1.8858036415718467	-97.0	-1.3793093942341677	-112.0	
9.71348426580127	1901.0	-1.0272440770505133	2134.0	2.014573245261001	1265.0	9.888412017167381	-16128.0	1344.0	-0.8240343347639485	2.001226241569589	3264.0	0.0	1349.54833984375	44222.0	-0.4043478260869565	715.0	-161.0	1.204040404040404	-567.0	-0.3872255489021957	2.10841434122506	135.0	1.962588592074027	-107.0	-1.4051145616632013	-181.0	
9.652154131573646	1896.0	-1.0028246675956758	2132.0	2.0744451018686947	1270.0	9.692213366033108	-15808.0	1344.0	-0.8240343347639485	1.9227467811158798	3136.0	0.0	1369.07958984375	44862.0	-0.41304347826086957	711.0	-166.0	1.1939393939393939	-553.0	-0.41516966067864275	3.012263527613067	139.0	1.8571366375330896	-104.0	-1.474989555428222	-240.0	
9.567050900056872	1894.0	-0.9528170237537708	2128.0	2.0981905315341147	1277.0	9.731453096259962	-15872.0	1216.0	-0.745554874310239	2.0797057020232983	3392.0	0.0	1388.61083984375	45502.0	-0.4043478260869565	715.0	-164.0	1.197979797979798	-565.0	-0.39121756487025955	2.2789578703054443	207.0	1.6946709688563348	-87.0	-2.5018770311745375	-193.0	
9.238861820926147	1901.0	-0.9323098368535387	2127.0	2.0107763632142195	1304.0	9.496014714898834	-15488.0	1088.0	-0.6670754138565297	1.9227467811158798	3136.0	0.0	1408.14208984375	46142.0	-0.40652173913043477	714.0	-171.0	1.183838383838384	-540.0	-0.44111776447105794	-1.065522516468256	277.0	1.3553397014334196	-46.0	-3.533071010576762	24.0	
9.725660619587352	1894.0	-0.9438276160186139	2127.0	2.099866522806771	1264.0	9.770692826486817	-15936.0	960.0	-0.5885959534028203	2.001226241569589	3264.0	0.0	1427.67333984375	46782.0	-0.3978260869565217	718.0	-166.0	1.1939393939393939	-567.0	-0.3872255489021957	-1.6108931775937747	282.0	2.1459645119491095	-96.0	-3.6036629313419333	60.0	
