Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Wide Range Accelerometer X	Wide Range Accelerometer X	Wide Range Accelerometer Z	Wide Range Accelerometer Z	Wide Range Accelerometer Y	Wide Range Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	
no units	m/(s^2)	no units	m/(s^2)	m/(s^2)	no units	m/(s^2)	no units	no units	m/(s^2)	m/(s^2)	no units	no units	no units	ms	no units	local_flux	no units	local_flux	local_flux	no units	deg/s	no units	deg/s	no units	no units	deg/s	
1981.0	9.721131279790603	1950.0	1.235328486212374	1.0734200193467764	1267.0	9.849172286940528	-16064.0	-2112.0	1.2949110974862048	0.8632740649908032	1408.0	0.0	8373.0	255.523681640625	789.0	-0.24347826086956523	-162.0	1.202020202020202	-0.4990019960079841	-511.0	2.299483258514721	193.0	1.999567870281454	-108.0	-194.0	-2.2891545284026376	
1981.0	9.770621168992344	1944.0	1.307485090836891	1.074636484285039	1263.0	9.809932556713672	-16000.0	-2240.0	1.3733905579399142	0.9417535254445125	1536.0	0.0	9013.0	275.054931640625	792.0	-0.23695652173913043	-178.0	1.1696969696969697	-0.5169660678642716	-502.0	2.1020509785084585	155.0	1.630371196292434	-84.0	-181.0	-1.7092334375417386	
1978.0	9.745507733937904	1947.0	1.270691483526529	1.1101619921746442	1265.0	9.809932556713672	-16000.0	-2176.0	1.3341508277130594	0.9809932556713672	1600.0	0.0	9653.0	294.586181640625	791.0	-0.2391304347826087	-170.0	1.185858585858586	-0.5508982035928145	-485.0	1.805278723292978	161.0	1.204901622925722	-54.0	-162.0	-1.7975204678412948	
1979.0	9.758063372075346	1945.0	1.2950641928521482	1.0984830828781904	1264.0	9.809932556713672	-16000.0	-2304.0	1.4126302881667687	0.9417535254445125	1536.0	0.0	10293.0	314.117431640625	793.0	-0.23478260869565218	-162.0	1.202020202020202	-0.4930139720558883	-514.0	0.8154203575685092	186.0	0.8242372744635261	-23.0	-98.0	-2.1678500210661795	
1984.0	9.855967902031935	1947.0	1.2699061283345983	1.038969583677159	1256.0	9.888412017167381	-16128.0	-2112.0	1.2949110974862048	0.9025137952176578	1472.0	0.0	10933.0	333.648681640625	796.0	-0.2282608695652174	-164.0	1.197979797979798	-0.49500998003992025	-513.0	0.36252196233240475	215.0	0.4835964908720155	3.0	-69.0	-2.6043856758970882	
1985.0	9.782579926610302	1950.0	1.2350511344386577	1.0258389612128989	1262.0	9.966891477621092	-16256.0	-2176.0	1.3341508277130594	0.9025137952176578	1472.0	0.0	11573.0	353.179931640625	789.0	-0.24347826086956523	-165.0	1.195959595959596	-0.5229540918163673	-499.0	1.4019758148488812	211.0	0.0040194414614227875	30.0	-137.0	-2.5539437125211126	
1980.0	9.79463992658387	1946.0	1.2823737264485588	1.0866737509881554	1261.0	9.927651747394236	-16192.0	-2176.0	1.3341508277130594	0.9417535254445125	1536.0	0.0	12213.0	372.711181640625	793.0	-0.23478260869565218	-169.0	1.187878787878788	-0.5349301397205589	-493.0	1.4968401261401563	210.0	0.2666735878428055	12.0	-143.0	-2.53968323015874	
1984.0	9.709549647744444	1948.0	1.2606705022452038	1.0374130448733903	1268.0	9.692213366033108	-15808.0	-2240.0	1.3733905579399142	0.9025137952176578	1472.0	0.0	12853.0	392.242431640625	798.0	-0.22391304347826088	-171.0	1.183838383838384	-0.4890219560878244	-516.0	0.37311213471811383	227.0	0.19030972013958825	23.0	-70.0	-2.7870010833243675	
1991.0	9.71040945880277	1948.0	1.2623395472407783	0.9531009840363389	1268.0	9.809932556713672	-16000.0	-2176.0	1.3341508277130594	0.8240343347639485	1344.0	0.0	13493.0	411.773681640625	795.0	-0.23043478260869565	-172.0	1.1818181818181819	-0.5089820359281437	-506.0	-0.0846592651608467	212.0	0.22803763803411875	22.0	-40.0	-2.5542864871963005	
1996.0	9.478541070340524	1955.0	1.1828781465864184	0.8897467222897512	1287.0	9.613733905579398	-15680.0	-2048.0	1.25567136725935	0.7063151440833844	1152.0	0.0	14133.0	431.304931640625	793.0	-0.23478260869565218	-163.0	1.2	-0.5069860279441119	-507.0	-1.0872275085213166	181.0	-0.7405331826899098	90.0	25.0	-2.0727779150288557	
1997.0	9.563883485821	1956.0	1.169202806765879	0.8784152002752661	1280.0	9.574494175352545	-15616.0	-2112.0	1.2949110974862048	0.7063151440833844	1152.0	0.0	14773.0	450.836181640625	795.0	-0.23043478260869565	-171.0	1.183838383838384	-0.5069860279441119	-507.0	-3.3754891990649587	105.0	-0.5075658804879317	82.0	175.0	-0.8940017620017459	
1995.0	9.46574408945982	1959.0	1.13412494458031	0.9011794132319674	1288.0	9.53525444512569	-15552.0	-2112.0	1.2949110974862048	0.7063151440833844	1152.0	0.0	15413.0	470.367431640625	792.0	-0.23695652173913043	-175.0	1.1757575757575758	-0.5249500998003993	-498.0	-3.252733535154626	82.0	-0.8599371525921239	104.0	167.0	-0.5454194327092903	
1988.0	9.477679100502641	1954.0	1.1931609129317207	0.9862264724235	1287.0	9.496014714898834	-15488.0	-1984.0	1.2164316370324952	0.8240343347639485	1344.0	0.0	16053.0	489.898681640625	793.0	-0.23478260869565218	-168.0	1.1898989898989898	-0.4850299401197605	-518.0	-4.599573301175026	74.0	-0.6061464837998101	93.0	255.0	-0.4102780312468049	
1978.0	9.61116027352177	1949.0	1.2490193927426527	1.108601796662644	1276.0	9.53525444512569	-15552.0	-2304.0	1.4126302881667687	0.8632740649908032	1408.0	0.0	16693.0	509.429931640625	797.0	-0.22608695652173913	-166.0	1.1939393939393939	-0.48103792415169666	-520.0	-4.81559344621075	124.0	0.03900691917028426	53.0	269.0	-1.1685741035607062	
