Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Wide Range Accelerometer X	Wide Range Accelerometer X	Wide Range Accelerometer Z	Wide Range Accelerometer Z	Wide Range Accelerometer Y	Wide Range Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
m/(s^2)	no units	no units	m/(s^2)	m/(s^2)	no units	no units	m/(s^2)	m/(s^2)	no units	m/(s^2)	no units	no units	no units	ms	no units	local_flux	local_flux	no units	no units	local_flux	no units	deg/s	deg/s	no units	no units	deg/s	
9.600305445279119	1923.0	2084.0	-0.4100240065098216	1.7545534167973311	1275.0	-15808.0	9.692213366033108	-0.27467811158798283	448.0	1.6088289393010422	2624.0	0.0	63469.0	1936.920166015625	701.0	-0.43478260869565216	1.2202020202020203	-153.0	-545.0	-0.43113772455089827	130.0	-1.1497307122882927	-0.09254690701164286	45.0	30.0	-1.296487483751642	
9.539475266774483	1926.0	2086.0	-0.43245810242101973	1.7175761957399196	1280.0	-15616.0	9.574494175352545	-0.27467811158798283	448.0	1.5695892090741874	2560.0	0.0	64109.0	1956.451416015625	703.0	-0.43043478260869567	1.208080808080808	-159.0	-546.0	-0.42914171656686634	131.0	-1.433639240971298	0.6924391827581284	-6.0	49.0	-1.308857523940097	
9.612865400975675	1926.0	2084.0	-0.4095549198659558	1.7185391289074823	1274.0	-15808.0	9.692213366033108	-0.3139178418148375	512.0	1.5303494788473329	2496.0	0.0	64749.0	1975.982666015625	701.0	-0.43478260869565216	1.2	-163.0	-532.0	-0.45708582834331346	124.0	-0.7743828472786386	2.0515917349478774	-100.0	7.0	-1.2089862095500272	
9.722836407244507	1929.0	2085.0	-0.4232458263962346	1.6833573515916147	1265.0	-15936.0	9.770692826486817	-0.3139178418148375	512.0	1.5695892090741874	2560.0	0.0	65389.0	1995.513916015625	699.0	-0.4391304347826087	1.208080808080808	-159.0	-553.0	-0.41516966067864275	166.0	0.7827568395976205	3.3930539996117326	-195.0	-94.0	-1.8633408763807673	
9.613358880359993	1931.0	2085.0	-0.4205529912093614	1.6581931191324697	1274.0	-15936.0	9.770692826486817	-0.23543838136112813	384.0	1.5303494788473329	2496.0	0.0	493.0	2015.045166015625	698.0	-0.44130434782608696	1.204040404040404	-161.0	-528.0	-0.4650698602794412	208.0	0.9943433164623134	3.7037289865829477	-215.0	-108.0	-2.5042400111113916	
9.698938321024615	1930.0	2082.0	-0.38594421566765824	1.6714431940656174	1267.0	-16000.0	9.809932556713672	-0.23543838136112813	384.0	1.5303494788473329	2496.0	0.0	1133.0	2034.576416015625	701.0	-0.43478260869565216	1.206060606060606	-160.0	-531.0	-0.4590818363273454	189.0	0.19060363878363884	2.848560107900611	-155.0	-56.0	-2.2072292303041867	
9.699802449642055	1939.0	2084.0	-0.40817879335383717	1.562795754635171	1267.0	-16064.0	9.849172286940528	-0.27467811158798283	448.0	1.491109748620478	2432.0	0.0	1773.0	2054.107666015625	699.0	-0.4391304347826087	1.187878787878788	-169.0	-542.0	-0.43712574850299407	186.0	0.8915990746895504	2.3031931068163694	-122.0	-102.0	-2.1686118082373897	
9.622783539173696	1935.0	2112.0	-0.7489821207527295	1.6068103033408356	1273.0	-15872.0	9.731453096259962	-0.27467811158798283	448.0	1.491109748620478	2432.0	0.0	2413.0	2073.638916015625	705.0	-0.4260869565217391	1.202020202020202	-162.0	-546.0	-0.42914171656686634	156.0	0.9356949334505645	1.6521879270549713	-80.0	-105.0	-1.712779002566445	
9.627000560842113	1932.0	2074.0	-0.2864680648215415	1.6476221924300847	1273.0	-15744.0	9.652973635806253	-0.19619865113427343	320.0	1.6088289393010422	2624.0	0.0	3053.0	2093.170166015625	704.0	-0.4282608695652174	1.195959595959596	-165.0	-535.0	-0.4510978043912176	208.0	-0.6186231198077954	0.48765561846338984	7.0	-5.0	-2.4881103467486905	
9.74757703428626	1927.0	2080.0	-0.36326390140222264	1.7083009626541412	1263.0	-16000.0	9.809932556713672	-0.23543838136112813	384.0	1.5303494788473329	2496.0	0.0	3693.0	2112.701416015625	700.0	-0.43695652173913047	1.2121212121212122	-157.0	-539.0	-0.44311377245508987	189.0	-1.6337848730320352	-0.02296320130220536	45.0	61.0	-2.1889853451860297	
9.662844452002616	1929.0	2077.0	-0.32449276390309095	1.6837449626641274	1270.0	-15936.0	9.770692826486817	-0.19619865113427343	320.0	1.5695892090741874	2560.0	0.0	4333.0	2132.232666015625	706.0	-0.42391304347826086	1.187878787878788	-169.0	-539.0	-0.44311377245508987	198.0	-0.6684183655603118	-0.03969991380675686	42.0	-2.0	-2.3355211395383133	
9.772574115528185	1932.0	2080.0	-0.36256416311385875	1.6483169669940223	1261.0	-15936.0	9.770692826486817	-0.15695892090741875	256.0	1.5303494788473329	2496.0	0.0	4973.0	2151.763916015625	700.0	-0.43695652173913047	1.195959595959596	-165.0	-536.0	-0.44910179640718567	159.0	-2.1035064403767083	0.12641100294777508	36.0	92.0	-1.7280143652540279	
9.797814698292928	1938.0	2079.0	-0.3494357434858826	1.5764115003914436	1259.0	-16128.0	9.888412017167381	-0.15695892090741875	256.0	1.5695892090741874	2560.0	0.0	5613.0	2171.295166015625	700.0	-0.43695652173913047	1.2101010101010101	-158.0	-556.0	-0.40918163672654695	147.0	-1.6545862581354387	0.3277458380056608	20.0	63.0	-1.5499940613730183	
9.736247538881159	1935.0	2081.0	-0.3733004493932873	1.6117017600515047	1264.0	-16128.0	9.888412017167381	-0.03923973022685469	64.0	1.4518700183936235	2368.0	0.0	6253.0	2190.826416015625	703.0	-0.43043478260869567	1.183838383838384	-171.0	-531.0	-0.4590818363273454	139.0	-1.207597893922601	0.3967160539412376	13.0	34.0	-1.4327909412128652	
9.785498244119195	1936.0	2078.0	-0.3374761487901361	1.6005043173388322	1260.0	-16000.0	9.809932556713672	-0.19619865113427343	320.0	1.4518700183936235	2368.0	0.0	6893.0	2210.357666015625	701.0	-0.43478260869565216	1.195959595959596	-165.0	-535.0	-0.4510978043912176	143.0	-2.191246617039661	0.3176864276649713	23.0	98.0	-1.4837909558828353	
9.83390640853537	1938.0	2083.0	-0.3989353839095731	1.576277421089631	1256.0	-16128.0	9.888412017167381	-0.19619865113427343	320.0	1.4126302881667687	2304.0	0.0	7533.0	2229.888916015625	702.0	-0.4326086956521739	1.206060606060606	-160.0	-551.0	-0.4191616766467066	128.0	-1.711064982728458	0.5300128743498813	6.0	67.0	-1.2604558900966698	
9.711864608395182	1935.0	2081.0	-0.37280801268481234	1.6114628551137298	1266.0	-16064.0	9.849172286940528	-0.27467811158798283	448.0	1.491109748620478	2432.0	0.0	8173.0	2249.420166015625	704.0	-0.4282608695652174	1.1898989898989898	-168.0	-553.0	-0.41516966067864275	115.0	-0.21668697333651504	0.8978555395890837	-26.0	-30.0	-1.077681039011882	
