Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Wide Range Accelerometer X	Wide Range Accelerometer X	Wide Range Accelerometer Z	Wide Range Accelerometer Z	Wide Range Accelerometer Y	Wide Range Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	
m/(s^2)	no units	no units	m/(s^2)	m/(s^2)	no units	m/(s^2)	no units	m/(s^2)	no units	no units	m/(s^2)	no units	no units	ms	no units	local_flux	local_flux	no units	local_flux	no units	deg/s	no units	deg/s	no units	no units	deg/s	
9.786646891071063	1965.0	2098.0	-0.5743664606133605	1.2487493103286729	1260.0	9.849172286940528	-16064.0	-0.510116492949111	832.0	1728.0	1.0594727161250765	0.0	31956.0	975.2197265625	730.0	-0.3717391304347826	1.1373737373737374	-194.0	-0.5389221556886228	-491.0	3.5167239850054455	-103.0	1.0451166976765303	-62.0	-271.0	2.2005742050168657	
9.640467820747276	1964.0	2096.0	-0.547269782681389	1.2596066791758391	1272.0	9.849172286940528	-16064.0	-0.39239730226854685	640.0	1920.0	1.1771919068056407	0.0	32596.0	994.7509765625	729.0	-0.3739130434782609	1.1373737373737374	-194.0	-0.5369261477045909	-492.0	2.358626701309772	-35.0	1.3769841423882878	-76.0	-196.0	1.1779346455344308	
9.738234409095773	1961.0	2091.0	-0.48900360281217	1.2973115851712693	1264.0	9.849172286940528	-16064.0	-0.27467811158798283	448.0	1856.0	1.137952176578786	0.0	33236.0	1014.2822265625	732.0	-0.3673913043478261	1.1454545454545455	-190.0	-0.5249500998003993	-498.0	1.28598336422477	39.0	1.1368390401012258	-52.0	-127.0	0.06318579373417815	
9.775308760547727	1969.0	2095.0	-0.5365957632409183	1.2008208649128267	1261.0	9.888412017167381	-16128.0	-0.3531575720416922	576.0	1792.0	1.0987124463519313	0.0	33876.0	1033.8134765625	731.0	-0.3695652173913044	1.1616161616161615	-182.0	-0.48103792415169666	-520.0	1.2804562071866397	43.0	0.6449045666189692	-19.0	-127.0	0.002404563403418774	
9.798726320060654	1969.0	2103.0	-0.6346101706713494	1.2000748964336518	1259.0	9.927651747394236	-16192.0	-0.47087676272225626	768.0	1664.0	1.020232985898222	0.0	34516.0	1053.3447265625	734.0	-0.3630434782608696	1.1575757575757575	-184.0	-0.530938123752495	-495.0	2.996298256251443	-7.0	1.1097563627266522	-60.0	-238.0	0.7457024166770294	
9.775302284209053	1966.0	2092.0	-0.5007403292182881	1.2373239328029193	1261.0	9.849172286940528	-16064.0	-0.4316370324954016	704.0	1792.0	1.0987124463519313	0.0	35156.0	1072.8759765625	736.0	-0.358695652173913	1.1515151515151516	-187.0	-0.5189620758483035	-501.0	3.849611125348106	-73.0	1.0252061995308974	-61.0	-293.0	1.740971569354884	
9.739333404117803	1967.0	2088.0	-0.45100225379522974	1.2254134319851528	1264.0	9.809932556713672	-16000.0	-0.4316370324954016	704.0	1728.0	1.0594727161250765	0.0	35796.0	1092.4072265625	735.0	-0.36086956521739133	1.1575757575757575	-184.0	-0.4970059880239522	-512.0	3.393925134819488	-29.0	0.6339148928644129	-31.0	-264.0	1.0763269083476226	
9.641549545532841	1962.0	2085.0	-0.413653942937435	1.285050040363303	1272.0	9.849172286940528	-16064.0	-0.27467811158798283	448.0	1856.0	1.137952176578786	0.0	36436.0	1111.9384765625	737.0	-0.3565217391304348	1.1353535353535353	-195.0	-0.48103792415169666	-520.0	3.2693716726170248	56.0	0.2145347205096441	1.0	-257.0	-0.21520322242959233	
9.667143507294247	1964.0	2077.0	-0.3161475389252184	1.2621846584788707	1270.0	9.692213366033108	-15808.0	-0.27467811158798283	448.0	1856.0	1.137952176578786	0.0	37076.0	1131.4697265625	738.0	-0.35434782608695653	1.1414141414141414	-192.0	-0.5169660678642716	-502.0	1.90003032355458	217.0	-0.7466351421404703	78.0	-170.0	-2.6501790104598806	
9.740665106764864	1969.0	2079.0	-0.3408131667342936	1.2024322543400643	1264.0	9.809932556713672	-16000.0	-0.19619865113427343	320.0	1856.0	1.137952176578786	0.0	37716.0	1151.0009765625	735.0	-0.36086956521739133	1.1636363636363636	-181.0	-0.5049900199600799	-508.0	-0.519136577744042	311.0	-1.8104301363618445	164.0	-14.0	-4.0556451361237	
9.764446839172239	1970.0	2085.0	-0.4142086464848679	1.189887924095548	1262.0	9.927651747394236	-16192.0	-0.3139178418148375	512.0	1664.0	1.020232985898222	0.0	38356.0	1170.5322265625	738.0	-0.35434782608695653	1.1515151515151516	-187.0	-0.48103792415169666	-520.0	-1.3217895334484315	340.0	-1.8268779275822435	170.0	38.0	-4.488683245349927	
9.739581223199739	1970.0	2089.0	-0.4624771951373709	1.1891565824492978	1264.0	9.849172286940528	-16064.0	-0.39239730226854685	640.0	1664.0	1.020232985898222	0.0	38996.0	1190.0634765625	737.0	-0.3565217391304348	1.1434343434343435	-191.0	-0.5249500998003993	-498.0	-0.9177640633096862	307.0	-1.830096634686899	167.0	12.0	-3.9908223593669034	
9.812846368470183	1968.0	2086.0	-0.42786063624079806	1.2143317850331368	1258.0	9.849172286940528	-16064.0	-0.4316370324954016	704.0	1536.0	0.9417535254445125	0.0	39636.0	1209.5947265625	735.0	-0.36086956521739133	1.1494949494949496	-188.0	-0.48702594810379246	-517.0	1.3866992808002214	336.0	-2.6924848777956627	215.0	-139.0	-4.454931631591273	
9.765651394108994	1969.0	2074.0	-0.2803543717415461	1.203286705163433	1262.0	9.849172286940528	-16064.0	-0.19619865113427343	320.0	1728.0	1.0594727161250765	0.0	40276.0	1229.1259765625	741.0	-0.34782608695652173	1.1616161616161615	-182.0	-0.46906187624750506	-526.0	2.9518677172826475	410.0	-3.131214183271144	240.0	-242.0	-5.5960586011272	
9.789426650177699	1967.0	2077.0	-0.3178944174694902	1.2272454428090094	1260.0	9.770692826486817	-15936.0	-0.03923973022685469	64.0	1664.0	1.020232985898222	0.0	40916.0	1248.6572265625	734.0	-0.3630434782608696	1.1575757575757575	-184.0	-0.5129740518962077	-504.0	0.2616032080893681	472.0	-4.165623457095164	324.0	-68.0	-6.512121735502947	
9.91061079803912	1964.0	2080.0	-0.35764264503070226	1.2642043803252645	1250.0	9.927651747394236	-16192.0	-0.19619865113427343	320.0	1792.0	1.0987124463519313	0.0	41556.0	1268.1884765625	732.0	-0.3673913043478261	1.1676767676767676	-179.0	-0.46906187624750506	-526.0	-1.0337482674945306	409.0	-4.203749013080998	330.0	17.0	-5.540993315804142	
