Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	Device	
Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Wide Range Accelerometer X	Wide Range Accelerometer X	Wide Range Accelerometer Z	Wide Range Accelerometer Z	Wide Range Accelerometer Y	Wide Range Accelerometer Y	Event_Marker	Timestamp	Timestamp	Magnetometer Z	Magnetometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Gyroscope X	Gyroscope X	
UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no units	m/(s^2)	m/(s^2)	no units	m/(s^2)	no units	m/(s^2)	no units	m/(s^2)	no units	no units	m/(s^2)	no units	no units	ms	no units	local_flux	local_flux	no units	local_flux	no units	deg/s	no units	no units	deg/s	deg/s	no units	
1960.0	9.741976719545013	-1.3306152536426463	2160.0	1.3009810845385414	1263.0	9.770692826486817	-15936.0	-1.2164316370324952	1984.0	1984.0	1.2164316370324952	0.0	37001.0	1129.180908203125	692.0	-0.4543478260869565	1.1474747474747475	-189.0	-0.4830339321357286	-519.0	1.259201694251223	-91.0	151.0	-1.9838626690096632	2.0406399222209854	-126.0	
1961.0	9.667985387265224	-1.4264214792398096	2168.0	1.2872349161886874	1269.0	9.849172286940528	-16064.0	-1.1771919068056407	1920.0	1984.0	1.2164316370324952	0.0	37641.0	1148.712158203125	692.0	-0.4543478260869565	1.1333333333333333	-196.0	-0.4910179640718563	-515.0	1.2248619256803095	-109.0	193.0	-2.6221083488806225	2.3147475784618288	-124.0	
1955.0	9.631036024744015	-1.3905426951525701	2165.0	1.3595133670308537	1272.0	9.731453096259962	-15872.0	-1.25567136725935	2048.0	1984.0	1.2164316370324952	0.0	38281.0	1168.243408203125	691.0	-0.4565217391304348	1.1474747474747475	-189.0	-0.4910179640718563	-515.0	1.8871438301298196	-123.0	188.0	-2.601757760955838	2.5210525160713257	-167.0	
1950.0	9.594692177860523	-1.305664490704985	2158.0	1.4202396744619163	1275.0	9.692213366033108	-15808.0	-1.1771919068056407	1920.0	2048.0	1.25567136725935	0.0	38921.0	1187.774658203125	691.0	-0.4565217391304348	1.1535353535353536	-186.0	-0.4610778443113773	-530.0	2.1938433437473415	-95.0	161.0	-2.201272225371898	2.0921300076271656	-187.0	
1952.0	9.619924125507033	-1.2447288257135019	2153.0	1.3970049650461276	1273.0	9.652973635806253	-15744.0	-1.0987124463519313	1792.0	2048.0	1.25567136725935	0.0	39561.0	1207.305908203125	695.0	-0.44782608695652176	1.1616161616161615	-182.0	-0.4730538922155689	-524.0	1.3626361214402267	-22.0	110.0	-1.3343918651570674	0.9901759201544192	-133.0	
1951.0	9.632234103342094	-1.2208329863866183	2151.0	1.4094152159888313	1272.0	9.692213366033108	-15808.0	-1.0594727161250765	1728.0	2176.0	1.3341508277130594	0.0	40201.0	1226.837158203125	695.0	-0.44782608695652176	1.1535353535353536	-186.0	-0.49500998003992025	-513.0	2.328285521486172	21.0	72.0	-0.8057262251539893	0.3265270307166972	-196.0	
1953.0	9.61968494154333	-1.2810611297348677	2156.0	1.3845910573951925	1273.0	9.731453096259962	-15872.0	-1.020232985898222	1664.0	2176.0	1.3341508277130594	0.0	40841.0	1246.368408203125	693.0	-0.45217391304347826	1.1575757575757575	-184.0	-0.4650698602794412	-528.0	2.807741612739754	12.0	54.0	-0.5747065868100744	0.45861459908172797	-227.0	
1953.0	9.681124953244796	-1.2335312361450772	2152.0	1.385680756448105	1268.0	9.692213366033108	-15808.0	-0.9809932556713672	1600.0	2112.0	1.2949110974862048	0.0	41481.0	1265.899658203125	693.0	-0.45217391304347826	1.1434343434343435	-191.0	-0.5109780439121757	-505.0	2.6199146841773726	-98.0	84.0	-1.0783290971171655	2.1334966706487206	-214.0	
1952.0	9.669414014708774	-1.1725722210889848	2147.0	1.3982214299843903	1269.0	9.731453096259962	-15872.0	-0.9809932556713672	1600.0	2112.0	1.2949110974862048	0.0	42121.0	1285.430908203125	695.0	-0.44782608695652176	1.1494949494949496	-188.0	-0.48103792415169666	-520.0	2.2652098944652206	-200.0	94.0	-1.2656199131736225	3.6883745170249296	-190.0	
1949.0	9.717449371112266	-1.2108431385247718	2150.0	1.4344636526873202	1265.0	9.809932556713672	-16000.0	-0.9809932556713672	1600.0	2112.0	1.2949110974862048	0.0	42761.0	1304.962158203125	689.0	-0.4608695652173913	1.1575757575757575	-184.0	-0.4730538922155689	-524.0	1.914865001204328	-236.0	113.0	-1.5479946205014679	4.239406483067806	-167.0	
1948.0	9.668560679989124	-1.2100967001071896	2150.0	1.446030422931349	1269.0	9.770692826486817	-15936.0	-0.8632740649908032	1408.0	2176.0	1.3341508277130594	0.0	43401.0	1324.493408203125	698.0	-0.44130434782608696	1.1454545454545455	-190.0	-0.4730538922155689	-524.0	2.003760566715505	-231.0	129.0	-1.7910199867360037	4.162471900036268	-173.0	
1947.0	9.716841696694992	-1.247890747544241	2153.0	1.4581834853951214	1265.0	9.849172286940528	-16064.0	-1.020232985898222	1664.0	2176.0	1.3341508277130594	0.0	44041.0	1344.024658203125	696.0	-0.44565217391304346	1.1535353535353536	-186.0	-0.49500998003992025	-513.0	2.469894752472005	-261.0	118.0	-1.676796335405613	4.614084322437258	-203.0	
1951.0	9.692950086813772	-1.2464445708382947	2153.0	1.4097662599790315	1267.0	9.770692826486817	-15936.0	-1.0987124463519313	1792.0	2176.0	1.3341508277130594	0.0	44681.0	1363.555908203125	697.0	-0.4434782608695652	1.1636363636363636	-181.0	-0.45708582834331346	-532.0	3.3154910306648766	-270.0	113.0	-1.6661626027983099	4.742510488932895	-258.0	
1954.0	9.607616306451531	-1.2805764763812624	2156.0	1.3724270248067265	1274.0	9.731453096259962	-15872.0	-1.0987124463519313	1792.0	2048.0	1.25567136725935	0.0	45321.0	1383.087158203125	697.0	-0.4434782608695652	1.1575757575757575	-184.0	-0.44910179640718567	-536.0	2.843401032608357	-331.0	150.0	-2.2251380437739314	5.674988042905856	-227.0	
1952.0	9.619079425905616	-1.3300605500952134	2160.0	1.3961432008062964	1273.0	9.692213366033108	-15808.0	-1.137952176578786	1856.0	1920.0	1.1771919068056407	0.0	45961.0	1402.618408203125	694.0	-0.45	1.1535353535353536	-186.0	-0.48702594810379246	-517.0	1.63333804057457	-392.0	199.0	-2.9126606093462466	6.614845326818589	-148.0	
1951.0	9.569828720667577	-1.3658848506983647	2163.0	1.4073406435189688	1277.0	9.652973635806253	-15744.0	-1.137952176578786	1856.0	2112.0	1.2949110974862048	0.0	46601.0	1422.149658203125	698.0	-0.44130434782608696	1.1575757575757575	-184.0	-0.45309381237524954	-534.0	1.806930823889101	-445.0	218.0	-3.2418435842869355	7.419193049175558	-159.0	
1945.0	9.581765890489955	-1.318800693687831	2159.0	1.480220013413804	1276.0	9.731453096259962	-15872.0	-1.1771919068056407	1920.0	2176.0	1.3341508277130594	0.0	47241.0	1441.680908203125	698.0	-0.44130434782608696	1.1454545454545455	-190.0	-0.4650698602794412	-528.0	1.3848042584340663	-391.0	219.0	-3.194604368052775	6.60212153916471	-132.0	
1944.0	9.594075868325016	-1.2949048543609472	2157.0	1.4926302643565077	1275.0	9.731453096259962	-15872.0	-1.137952176578786	1856.0	2240.0	1.3733905579399142	0.0	47881.0	1461.212158203125	701.0	-0.43478260869565216	1.1555555555555554	-185.0	-0.47504990019960086	-523.0	1.3574326521121372	-289.0	200.0	-2.8457885010992126	5.051064456748842	-131.0	
1942.0	9.618575152623508	-1.2593034220474242	2154.0	1.5173276570647964	1273.0	9.692213366033108	-15808.0	-1.0987124463519313	1792.0	2240.0	1.3733905579399142	0.0	48521.0	1480.743408203125	700.0	-0.43695652173913047	1.1676767676767676	-179.0	-0.46906187624750506	-526.0	1.7041185155479466	-231.0	184.0	-2.594752606121668	4.1654683205479435	-154.0	
1941.0	9.59479342021613	-1.1859079422968501	2148.0	1.529871987309313	1275.0	9.731453096259962	-15872.0	-0.9809932556713672	1600.0	2304.0	1.4126302881667687	0.0	49161.0	1500.274658203125	698.0	-0.44130434782608696	1.1515151515151516	-187.0	-0.4830339321357286	-519.0	2.873214122351458	-221.0	151.0	-2.1752853864769226	4.001686109727056	-230.0	
1944.0	9.644651799871438	-1.1130360326742297	2142.0	1.494954711888839	1271.0	9.731453096259962	-15872.0	-0.9417535254445125	1536.0	2240.0	1.3733905579399142	0.0	49801.0	1519.805908203125	702.0	-0.4326086956521739	1.1535353535353536	-186.0	-0.4770459081836328	-522.0	2.7709799323332795	-213.0	109.0	-1.5336178092782768	3.8810354478249565	-223.0	
1946.0	9.681592527274413	-1.1011075713979621	2141.0	1.4713470182334627	1268.0	9.652973635806253	-15744.0	-0.8632740649908032	1408.0	2176.0	1.3341508277130594	0.0	50441.0	1539.337158203125	700.0	-0.43695652173913047	1.1616161616161615	-182.0	-0.44910179640718567	-536.0	1.9234714076975872	-195.0	118.0	-1.5986131793545606	3.61574627451618	-168.0	
1943.0	9.644287626976986	-1.1376549603540864	2144.0	1.5067530736541803	1271.0	9.888412017167381	-16128.0	-0.9809932556713672	1600.0	2368.0	1.4518700183936235	0.0	51081.0	1558.868408203125	701.0	-0.43478260869565216	1.1696969696969697	-178.0	-0.4670658682634731	-527.0	1.8172287518890284	-216.0	131.0	-1.7988969046351617	3.9362003360552547	-161.0	
1942.0	9.65671827618368	-1.1015688746869583	2141.0	1.5192864337740029	1270.0	9.692213366033108	-15808.0	-0.8240343347639485	1344.0	2176.0	1.3341508277130594	0.0	51721.0	1578.399658203125	702.0	-0.4326086956521739	1.1575757575757575	-184.0	-0.4890219560878244	-516.0	2.342779063323132	-242.0	129.0	-1.82130768930902	4.326382095298328	-195.0	
1943.0	9.559309384390964	-1.0993606928536903	2141.0	1.506286233903324	1278.0	9.770692826486817	-15936.0	-0.9025137952176578	1472.0	2240.0	1.3733905579399142	0.0	52361.0	1597.930908203125	698.0	-0.44130434782608696	1.1535353535353536	-186.0	-0.4970059880239522	-512.0	2.912288961511804	-218.0	92.0	-1.2916221790860183	3.955667984909597	-232.0	
1944.0	9.595644596156221	-1.1364316519377686	2144.0	1.4942306836590515	1275.0	9.613733905579398	-15680.0	-0.9025137952176578	1472.0	2176.0	1.3341508277130594	0.0	53001.0	1617.462158203125	704.0	-0.4282608695652174	1.1454545454545455	-190.0	-0.4590818363273454	-531.0	2.401247258959983	-174.0	82.0	-1.0793605782706501	3.2915768810225674	-199.0	
